UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,AIRCRAFT_TYPE,MONTH
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",15295,14730,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11292,11618,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11292,14679,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14869,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14869,14869,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12889,12889,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12889,13487,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12889,11764,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13796,11995,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10431,10868,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10431,11867,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14679,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14679,14679,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14679,10466,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14679,16218,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,10185,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,11292,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,14679,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,10466,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,12892,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,16218,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10466,13256,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13487,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13487,13930,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13487,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13487,13485,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11042,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,14108,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11433,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11066,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11995,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,13871,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,13487,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11977,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11637,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11867,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,13485,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,10599,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,12191,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,10562,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11986,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,12992,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,13184,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,10627,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10590,11140,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,13303,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,15016,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,12889,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,14696,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,12339,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,14107,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,13198,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,12278,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,14730,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,11423,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14570,12206,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11123,13930,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14783,14683,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14783,13198,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13076,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13076,14512,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11203,11042,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11203,13871,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11977,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11977,11203,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11977,12339,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11637,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13342,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11867,10431,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11867,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13485,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13485,13076,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14761,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13577,13303,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13577,13277,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12339,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12339,11986,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14512,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",10599,10431,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13377,10397,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11259,12191,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11259,11697,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14492,11123,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12191,13796,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12191,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12191,10423,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14100,10615,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14122,13303,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",14122,13930,614,10
